,0
five-year 2001-05,35.76011691797547
five-year 2001-06,36.308178869189256
five-year 2001-07,36.831948274634364
five-year 2001-08,37.328659882042835
five-year 2001-09,37.80699529689207
five-year 2001-10,38.27221538351799
five-year 2001-11,38.732499427105495
five-year 2001-12,39.111278002375485
five-year 2002-01,39.44602249520982
five-year 2002-02,39.837240634754224
five-year 2002-03,40.30037614854047
five-year 2002-04,40.722379464651134
five-year 2002-05,41.094229921188834
five-year 2002-06,41.43360942400838
five-year 2002-07,41.749079353531144
five-year 2002-08,42.04327701050297
five-year 2002-09,42.33381627433194
five-year 2002-10,42.59648696823562
five-year 2002-11,42.99951261543265
five-year 2002-12,43.39240938750135
five-year 2003-01,43.573263692384586
five-year 2003-02,43.62538032369764
five-year 2003-03,43.80738872606071
five-year 2003-04,44.012881260368005
five-year 2003-05,44.2614003010028
five-year 2003-06,44.57818087218286
five-year 2003-07,44.96467442584381
five-year 2003-08,45.380971615601275
five-year 2003-09,45.813284247843086
five-year 2003-10,46.217903644959975
five-year 2003-11,46.556677710078866
five-year 2003-12,46.754744765993465
five-year 2004-01,46.89544350773701
five-year 2004-02,47.136876207576506
five-year 2004-03,47.554395381276834
five-year 2004-04,48.08249298567263
five-year 2004-05,48.733519878895336
five-year 2004-06,49.51166503999252
five-year 2004-07,50.3737568491223
five-year 2004-08,51.241106533205155
five-year 2004-09,52.09484393630353
five-year 2004-10,52.88972000689205
five-year 2004-11,53.56845996720528
five-year 2004-12,54.0826895995399
five-year 2005-01,54.451019283811505
five-year 2005-02,54.77126623058126
five-year 2005-03,55.1970360840429
five-year 2005-04,55.72187368122378
five-year 2005-05,56.29475369591289
five-year 2005-06,56.91857375194474
five-year 2005-07,57.566527671134885
five-year 2005-08,58.15227368943384
five-year 2005-09,58.644894539399644
five-year 2005-10,58.99356943461876
five-year 2005-11,59.15965109817419
five-year 2005-12,59.11005282994907
five-year 2006-01,58.884262058936194
five-year 2006-02,58.55733691998619
five-year 2006-03,58.27644120717625
five-year 2006-04,58.018825052687305
five-year 2006-05,57.71987763479773
five-year 2006-06,57.34617397850915
five-year 2006-07,56.88177713227208
five-year 2006-08,56.2841771734518
five-year 2006-09,55.57493772465498
five-year 2006-10,54.74936411563019
five-year 2006-11,53.81686734261724
five-year 2006-12,52.83386906113278
five-year 2007-01,51.823293953251756
five-year 2007-02,50.73004777883357
five-year 2007-03,49.64242486518223
five-year 2007-04,48.56133131269124
five-year 2007-05,47.415353534441024
five-year 2007-06,46.17818837024225
five-year 2007-07,44.896738504669024
five-year 2007-08,43.55008562613303
five-year 2007-09,42.14554825434166
five-year 2007-10,40.68452462352387
five-year 2007-11,38.988265738744175
five-year 2007-12,37.13337658897593
five-year 2008-01,35.36919664921774
five-year 2008-02,33.676758160519945
five-year 2008-03,31.94448508164972
five-year 2008-04,30.171535824497923
five-year 2008-05,28.304691140928362
five-year 2008-06,26.32317684848387
five-year 2008-07,24.351891816062977
five-year 2008-08,22.439946411721984
five-year 2008-09,20.6161275117913
five-year 2008-10,18.87062425536695
five-year 2008-11,17.23859908483012
five-year 2008-12,15.720866279076443
five-year 2009-01,14.278833333040454
five-year 2009-02,12.78158169068064
five-year 2009-03,11.216122545493738
five-year 2009-04,9.559014553334288
five-year 2009-05,7.756261542276545
five-year 2009-06,5.900280621754734
five-year 2009-07,4.223819771295377
five-year 2009-08,2.7554755602591534
five-year 2009-09,1.4257365251969252
five-year 2009-10,0.20809769024471286
five-year 2009-11,-0.8569902623320593
five-year 2009-12,-1.8181896597236564
five-year 2010-01,-2.7046754716518637
five-year 2010-02,-3.370575660490994
five-year 2010-03,-4.2377662494498916
five-year 2010-04,-5.376238414575687
five-year 2010-05,-6.383810873729442
five-year 2010-06,-7.197055907293008
five-year 2010-07,-8.213399822841447
five-year 2010-08,-9.324264899630773
five-year 2010-09,-10.443201180043966
five-year 2010-10,-11.522753076126369
five-year 2010-11,-12.569526942475386
five-year 2010-12,-13.584979097336802
five-year 2011-01,-14.529275971198675
five-year 2011-02,-15.409080833044246
five-year 2011-03,-16.2192277882454
five-year 2011-04,-16.928417430163037
five-year 2011-05,-17.548888753998135
five-year 2011-06,-18.12211159819916
five-year 2011-07,-18.60464080639132
five-year 2011-08,-18.99311301201505
five-year 2011-09,-19.313767221824186
five-year 2011-10,-19.580350289314207
five-year 2011-11,-19.79378558517132
five-year 2011-12,-19.98020122502387
five-year 2012-01,-20.155456732800346
five-year 2012-02,-20.28153773014696
five-year 2012-03,-20.299278833315476
five-year 2012-04,-20.184849804422434
five-year 2012-05,-19.951844291047948
five-year 2012-06,-19.655824778563108
five-year 2012-07,-19.32095233059659
five-year 2012-08,-18.952510335947448
five-year 2012-09,-18.54447234768472
five-year 2012-10,-18.086238169833376
five-year 2012-11,-17.54050801801182
five-year 2012-12,-16.931786136990567
five-year 2013-01,-16.290440708285946
five-year 2013-02,-15.560935168090866
five-year 2013-03,-14.709756703372209
five-year 2013-04,-13.740380683506299
five-year 2013-05,-12.661690585670355
five-year 2013-06,-11.48235148683034
five-year 2013-07,-10.288203838566385
five-year 2013-08,-9.149955500015427
five-year 2013-09,-8.109129863453353
five-year 2013-10,-7.126733408989382
five-year 2013-11,-6.176316681503005
five-year 2013-12,-5.277050223124755
five-year 2014-01,-4.41703671775821
five-year 2014-02,-3.50970341367207
five-year 2014-03,-2.5362505291369377
five-year 2014-04,-1.4569848815479713
five-year 2014-05,-0.19854904764553774
five-year 2014-06,1.117341411767974
five-year 2014-07,2.2500972731546813
five-year 2014-08,3.134229159194234
five-year 2014-09,3.8249982894380263
five-year 2014-10,4.399735876061619
five-year 2014-11,4.901608961097533
five-year 2014-12,5.3386826454788
five-year 2015-01,5.753516717644611
five-year 2015-02,6.014715946963484
five-year 2015-03,6.52398798622429
five-year 2015-04,7.39171166841418
five-year 2015-05,8.216844454421818
five-year 2015-06,8.81505649195494
five-year 2015-07,9.662655710816246
five-year 2015-08,10.666440639043952
five-year 2015-09,11.727292173582937
five-year 2015-10,12.790387697796126
five-year 2015-11,13.903732994486667
five-year 2015-12,15.097281900184882
five-year 2016-01,16.36266533109649
five-year 2016-02,17.610985353699085
five-year 2016-03,18.763146285353148
five-year 2016-04,19.87733755248924
five-year 2016-05,21.052616180316697
five-year 2016-06,22.29716736946339
five-year 2016-07,23.510158259151307
five-year 2016-08,24.628209984206293
five-year 2016-09,25.650422339703255
five-year 2016-10,26.6381934200603
five-year 2016-11,27.60527726050209
five-year 2016-12,28.506146534696992
five-year 2017-01,29.40427078741976
five-year 2017-02,30.23923856745691
five-year 2017-03,30.865390963474116
five-year 2017-04,31.335466494079977
five-year 2017-05,31.789151267898035
five-year 2017-06,32.187349998145535
five-year 2017-07,32.530725748604745
five-year 2017-08,32.90503972703061
five-year 2017-09,33.28267068566677
five-year 2017-10,33.587778899102595
five-year 2017-11,33.78443833002129
five-year 2017-12,33.98138801707503
five-year 2018-01,34.1460805790497
five-year 2018-02,34.38170442784884
five-year 2018-03,34.75969991758846
five-year 2018-04,34.7532878882078
five-year five_year,-99.97600306298767
